Kod;Ders;Derslik;Fakulte;Tarih;Saat
MAT1320;Lineer Cebir;FEF-B1-A06;FEN-EDEBİYAT;29.06.2026;09:00
;;FEF-B1-A08;FEN-EDEBİYAT;;
;;FEF-B1-A10;FEN-EDEBİYAT;;
;;FEF-B1-D03;FEN-EDEBİYAT;;
;;FEF-B1-D04;FEN-EDEBİYAT;;
