Kod;Ders;Derslik;Fakulte;Tarih;Saat
MAT1320;Linear Algebra;FEF-BZ-A02;SCIENCE & ARTS;29.06.2026;09:00
;;FEF-BZ-A04;SCIENCE & ARTS;;
